,Text,Date,Retweets,Favorites,Mentions,HashTags
73,"The order distinguishes between SECULAR and RELIGIOUS activities in the same location with the same people. THIS IS NOT ABOUT A VIRUS! Judge Orders Church to Stop Worship Services, Says It Violated Governor’s Lockdown ",2020-08-09 21:41:26+00:00,177,103,,
74,"Teachers have been on full day since #lockdown They are set to get a 3.1 per cent pay rise Now they want to work part time A life of leisure to them matters more than youngsters. education, doesn't it? They're a disgrace, aren't they? ",2020-08-09 21:37:44+00:00,37,77,,#lockdown
75,"The lockdown will be lifted on Mayaguana, Inagua, Long Cay, Crooked Island, Long Island, Rum Cay and Ragged Island on Monday at 5 a.m., Prime Minister Dr. Hubert Minnis announced on Sunday. He noted that those islands have not recorded any cases in the last two weeks.",2020-08-09 21:37:37+00:00,31,32,,
76,"Israeli Data Show School Openings Were a Disaster That Wiped Out Lockdown Gains ""Of 1,400 Israelis diagnosed with COVID-19 last month, 657 (47 percent) were infected in schools. Now 2,026 students, teachers, and staff have it, and 28,147 are quarantined. https://www.thedailybeast.com/israeli-data-show-school-openings-were-a-disaster-that-wiped-out-lockdown-gains?",2020-08-09 21:36:34+00:00,50,67,,
77,"These asshole government officials don't care about the mental health of people being in this fake lockdown. My son is 30. He is a wonderful, kind, quiet, shy man. He has depression and anxiety. For the first time, I am afraid. He is struggling. My heart breaks, they don't care.",2020-08-09 21:36:00+00:00,38,158,,
78,Is anyone else still living the lockdown life? I feel like some kind of strange hermit while the rest of the world moves on,2020-08-09 21:35:58+00:00,26,497,,
79,Minnis say we need to learn how to live with this virus but we still on lockdown? shut up.,2020-08-09 21:34:06+00:00,36,95,,
80,This adorable clip shows a baby gorilla trying to entice his father to play. Parents of children in lockdown might think it's a little too real ,2020-08-09 21:33:00+00:00,307,1752,,
81,"Although Zambia never went on lockdown, economy has taken a big hit.there are a number of financial lessons I have learnt.Have multiple income streams...get paid rent, do a consultancy, edit or proof read docs, bake cakes, drive ulendo but have a side hustle outside your day job",2020-08-09 21:32:38+00:00,23,91,,
82,bby is glowing in lockdown ,2020-08-09 21:32:31+00:00,7,49,,
83,"PM: Lockdown and curfew are lifted on Mayaguana, Inagua, Long Cay, Crooked Island, Long Island, Rum Cay and Ragged Island.",2020-08-09 21:30:51+00:00,101,142,,
84,"It definitely looks like a trend, SAGE scientists and their like, @IndependentSage, will already have a strong view about the direction Covid-19 infections are heading. Goodness schools are important, children’s futures vital, but alarm bells must ringing, loudly, now #lockdown?",2020-08-09 21:30:46+00:00,24,37,@IndependentSage,#lockdown
85,"Have you made some impulsive purchases during the COVID “lockdown” over the past few months? If you did, what were they? #implusebuy #spendingspree #poll",2020-08-09 21:29:12+00:00,45,54,,#implusebuy #spendingspree #poll
