Date,Price,Open,High,Low,Volume,Chg%
11-Nov-08,2938.65,3147.2,3147.2,2919.45,221.65M,-6.66%
12-Nov-08,2848.45,2937.9,2975.2,2794.95,250.46M,-3.07%
14-Nov-08,2810.35,2848,2938.8,2778.8,256.74M,-1.34%
17-Nov-08,2799.55,2813.4,2835.7,2694.5,251.22M,-0.38%
18-Nov-08,2683.15,2802.45,2802.45,2664.3,220.18M,-4.16%
19-Nov-08,2635,2682.75,2772.4,2617.9,230.51M,-1.79%
20-Nov-08,2553.15,2634.2,2634.2,2502.9,204.79M,-3.11%
21-Nov-08,2693.45,2553.6,2718.6,2539.8,281.16M,5.50%
24-Nov-08,2708.25,2690.85,2740.35,2633.8,236.73M,0.55%
25-Nov-08,2654,2708.3,2790.7,2638.2,214.27M,-2.00%
26-Nov-08,2752.25,2652.45,2762.6,2643.35,269.95M,3.70%
28-Nov-08,2755.1,2745.7,2779,2690.3,296.32M,0.10%
01-Dec-08,2682.9,2755.15,2832.85,2669.5,257.84M,-2.62%
02-Dec-08,2657.8,2672.9,2672.9,2570.7,261.05M,-0.94%
03-Dec-08,2656.45,2657.5,2693.65,2611.95,282.54M,-0.05%
04-Dec-08,2788,2656.5,2793.8,2646.35,324.14M,4.95%
05-Dec-08,2714.4,2786.65,2821.15,2701.35,319.25M,-2.64%
08-Dec-08,2784,2714.7,2861.55,2714.7,311.40M,2.56%
10-Dec-08,2928.25,2785.7,2940.15,2785.7,370.60M,5.18%
11-Dec-08,2920.15,2934.05,2945.3,2861.55,352.21M,-0.28%
12-Dec-08,2921.35,2915.35,2936.8,2812.55,38.34M,0.04%
15-Dec-08,2981.2,2917.9,3012.1,2917.9,293.74M,2.05%
16-Dec-08,3041.75,2983.6,3052.55,2963.3,270.62M,2.03%
17-Dec-08,2954.35,3040.45,3076.2,2943.5,344.62M,-2.87%
18-Dec-08,3060.75,2955.35,3072.55,2922.65,377.03M,3.60%
19-Dec-08,3077.5,3063,3106.8,3036.3,386.31M,0.55%
22-Dec-08,3039.3,3077.25,3110.45,3027.8,315.83M,-1.24%
23-Dec-08,2968.65,3039.25,3040,2957.05,303.13M,-2.32%
24-Dec-08,2916.85,2967.4,2968,2900.45,380.46M,-1.74%
26-Dec-08,2857.25,2919.85,2960.95,2844.8,237.94M,-2.04%
29-Dec-08,2922.2,2857.15,2931.8,2812.9,335.17M,2.27%
30-Dec-08,2979.5,2922.55,2999.15,2899.75,302.75M,1.96%
31-Dec-08,2959.15,2979.8,3002.65,2937.35,288.83M,-0.68%
01-Jan-09,3033.45,2963.3,3039.25,2963.3,226.68M,2.51%
02-Jan-09,3046.75,3034.6,3079.85,3021.8,318.67M,0.44%
05-Jan-09,3121.45,3058.75,3131.95,3056.45,311.93M,2.45%
06-Jan-09,3112.8,3121.5,3141.8,3056.1,340.45M,-0.28%
07-Jan-09,2920.4,3112.8,3147.2,2888.2,686.89M,-6.18%
09-Jan-09,2873,2919.95,2929.85,2810.25,591.98M,-1.62%
12-Jan-09,2773.1,2868.85,2869.2,2748.55,382.11M,-3.48%
13-Jan-09,2744.95,2775,2802.6,2720.8,252.70M,-1.02%
14-Jan-09,2835.3,2748.4,2853.25,2748.4,217.30M,3.29%
15-Jan-09,2736.7,2832.3,2832.3,2701.75,214.28M,-3.48%
16-Jan-09,2828.45,2737,2835.65,2724.2,229.50M,3.35%
19-Jan-09,2846.2,2828.7,2868.2,2819.9,328.34M,0.63%
20-Jan-09,2796.6,2842.9,2842.9,2758,233.29M,-1.74%
21-Jan-09,2706.15,2777.4,2787.3,2690.2,220.07M,-3.23%
22-Jan-09,2713.8,2714.7,2744.85,2681.4,229.57M,0.28%
23-Jan-09,2678.55,2705.45,2765.55,2661.65,211.29M,-1.30%
27-Jan-09,2771.35,2686.05,2777.3,2685.25,218.65M,3.46%
28-Jan-09,2849.5,2771.1,2855.4,2765.6,274.48M,2.82%
29-Jan-09,2823.95,2849.35,2873.85,2795.35,330.75M,-0.90%
30-Jan-09,2874.8,2824.05,2881,2774.1,295.00M,1.80%
02-Feb-09,2766.65,2872.35,2873.45,2760.7,234.94M,-3.76%
03-Feb-09,2783.9,2773.5,2831.7,2752.9,252.55M,0.62%
04-Feb-09,2803.05,2780.7,2842.2,2780.7,204.15M,0.69%
05-Feb-09,2780.05,2802.75,2816.8,2754.85,178.48M,-0.82%
06-Feb-09,2843.1,2779.35,2852.5,2778.65,187.96M,2.27%
09-Feb-09,2919.9,2843.05,2926.75,2840.15,117.64M,2.70%
10-Feb-09,2934.5,2919.7,2957.4,2891.75,301.75M,0.50%
11-Feb-09,2925.7,2933,2937.5,2877.6,243.27M,-0.30%
12-Feb-09,2893.05,2927.4,2939,2886.55,214.71M,-1.12%
13-Feb-09,2948.35,2896.95,2969.75,2896.85,195.72M,1.91%
16-Feb-09,2848.5,2948.25,2953.2,2839.1,244.94M,-3.39%
17-Feb-09,2770.5,2853.85,2854.65,2757.3,191.43M,-2.74%
18-Feb-09,2776.15,2755.15,2806.5,2736.65,214.16M,0.20%
19-Feb-09,2789.35,2776.7,2802.15,2767.6,174.59M,0.48%
20-Feb-09,2736.45,2789.3,2789.3,2709.3,154.75M,-1.90%
24-Feb-09,2733.9,2737.25,2746.2,2677.55,182.64M,-0.09%
25-Feb-09,2762.5,2733.45,2789.35,2733.45,176.81M,1.05%
26-Feb-09,2785.65,2762.2,2797.8,2731.9,250.17M,0.84%
27-Feb-09,2763.65,2785.7,2787.2,2708.45,231.16M,-0.79%
02-Mar-09,2674.6,2764.6,2764.6,2659.55,194.23M,-3.22%
03-Mar-09,2622.4,2672.15,2688.5,2611.55,217.64M,-1.95%
04-Mar-09,2645.2,2611.95,2655.7,2611.95,202.95M,0.87%
05-Mar-09,2576.7,2645.9,2663.9,2564.1,244.86M,-2.59%
06-Mar-09,2620.15,2576.75,2628.1,2539.45,242.51M,1.69%
09-Mar-09,2573.15,2620.1,2621.25,2555.6,166.41M,-1.79%
12-Mar-09,2617.45,2574.5,2646.1,2574.5,213.79M,1.72%
13-Mar-09,2719.25,2616.6,2726.15,2616.6,263.89M,3.89%
16-Mar-09,2777.25,2716.05,2781.95,2701.95,263.13M,2.13%
17-Mar-09,2757.45,2776.35,2805.6,2738.7,288.78M,-0.71%
18-Mar-09,2794.7,2757.65,2836.05,2752.25,261.79M,1.35%
19-Mar-09,2807.15,2797.05,2822.25,2771.35,223.41M,0.45%
20-Mar-09,2807.05,2807.35,2816.1,2773.65,186.84M,0.00%
23-Mar-09,2939.9,2807.25,2949.75,2807.25,250.48M,4.73%
24-Mar-09,2938.7,2923.8,3017.4,2914.5,383.08M,-0.04%
25-Mar-09,2984.35,2938.8,2996.5,2923.3,383.65M,1.55%
26-Mar-09,3082.25,2982.25,3103.35,2982.25,416.18M,3.28%
27-Mar-09,3108.65,3079.4,3123.35,3055.9,323.36M,0.86%
30-Mar-09,2978.15,3108.75,3110.2,2962.4,275.78M,-4.20%
31-Mar-09,3020.95,2981.7,3054.3,2966.4,341.40M,1.44%
01-Apr-09,3060.35,3023.85,3069.3,2965.7,319.35M,1.30%
02-Apr-09,3211.05,3061.05,3228.75,3061.05,370.84M,4.92%
06-Apr-09,3256.6,3211.35,3303.9,3211.35,357.07M,1.42%
08-Apr-09,3342.95,3255.35,3357.05,3149.25,409.03M,2.65%
09-Apr-09,3342.05,3346,3401.15,3307.05,414.64M,-0.03%
13-Apr-09,3382.6,3342.2,3417.8,3334.15,331.53M,1.21%
15-Apr-09,3484.15,3381.45,3497.55,3311.8,458.49M,3.00%
16-Apr-09,3369.5,3484.35,3511.25,3354.2,559.55M,-3.29%
17-Apr-09,3384.4,3369.5,3489.85,3359.25,491.16M,0.44%
20-Apr-09,3377.1,3384.75,3441.1,3339.45,341.80M,-0.22%
21-Apr-09,3365.3,3376.85,3414.7,3309.35,344.67M,-0.35%
22-Apr-09,3330.3,3364.6,3401.1,3296.9,327.29M,-1.04%
23-Apr-09,3423.7,3330.5,3439.9,3310.5,312.63M,2.80%
24-Apr-09,3480.75,3423.6,3491.35,3402.9,306.13M,1.67%
27-Apr-09,3470,3481.3,3517.25,3435.3,315.94M,-0.31%
28-Apr-09,3362.35,3469.5,3471.95,3351.5,287.14M,-3.10%
29-Apr-09,3473.95,3371.65,3486.4,3366.7,483.58M,3.32%
04-May-09,3654,3478.7,3664.5,3478.7,363.87M,5.18%
