Date,Price,Open,High,Low,Volume,Chg%
29-Apr-20,9553.35,9408.6,9599.85,9392.35,653.03K,1.84%
30-Apr-20,9859.9,9753.5,9889.05,9731.5,931.17K,3.21%
04-May-20,9293.5,9533.5,9533.5,9266.95,687.49K,-5.74%
05-May-20,9205.6,9429.4,9450.9,9190.75,725.20K,-0.95%
06-May-20,9270.9,9226.8,9346.9,9116.5,722.19K,0.71%
07-May-20,9199.05,9234.05,9277.85,9175.9,708.74K,-0.78%
08-May-20,9251.5,9376.95,9382.65,9238.2,609.05K,0.57%
11-May-20,9239.2,9348.15,9439.9,9219.95,704.65K,-0.13%
12-May-20,9196.55,9168.85,9240.85,9043.95,805.46K,-0.46%
13-May-20,9383.55,9584.2,9584.5,9351.1,846.40K,2.03%
14-May-20,9142.75,9213.95,9281.1,9119.75,602.56K,-2.57%
15-May-20,9136.85,9182.4,9182.4,9050,575.86K,-0.06%
18-May-20,8823.25,9158.3,9158.3,8806.75,772.98K,-3.43%
19-May-20,8879.1,8961.7,9030.35,8855.3,762.15K,0.63%
20-May-20,9066.55,8889.15,9093.8,8875.35,622.31K,2.11%
21-May-20,9106.25,9079.45,9178.55,9056.1,631.54K,0.44%
22-May-20,9039.25,9067.9,9149.6,8968.55,675.76K,-0.74%
26-May-20,9029.05,9099.75,9161.65,8996.65,654.96K,-0.11%
27-May-20,9314.95,9082.2,9334,9004.25,763.49K,3.17%
28-May-20,9490.1,9364.95,9511.25,9336.5,837.91K,1.88%
29-May-20,9580.3,9422.2,9598.85,9376.9,967.01K,0.95%
01-Jun-20,9826.15,9726.85,9931.6,9706.95,794.18K,2.57%
02-Jun-20,9979.1,9880.85,9995.6,9824.05,770.19K,1.56%
03-Jun-20,10061.55,10108.3,10176.2,10035.55,794.66K,0.83%
04-Jun-20,10029.1,10054.25,10123.85,9944.25,775.11K,-0.32%
05-Jun-20,10142.15,10093.8,10177.8,10040.75,987.12K,1.13%
08-Jun-20,10167.45,10326.75,10328.5,10120.25,936.49K,0.25%
