Date,Price,Open,High,Low,Volume,Chg%
21-Dec-16,8061.3,8105.85,8112.55,8053.25,127.54M,-0.26%
22-Dec-16,7979.1,8043.85,8046.45,7964.95,126.41M,-1.02%
23-Dec-16,7985.75,7972.5,8022.6,7942.05,127.92M,0.08%
26-Dec-16,7908.25,7965.1,7970.05,7893.8,110.17M,-0.97%
27-Dec-16,8032.85,7915.05,8044.65,7903.7,122.46M,1.58%
28-Dec-16,8034.85,8047.55,8100.55,8028.4,130.58M,0.02%
29-Dec-16,8103.6,8030.6,8111.1,8020.8,183.98M,0.86%
30-Dec-16,8185.8,8119.65,8197,8114.75,131.46M,1.01%
02-Jan-17,8179.5,8210.1,8212,8133.8,122.02M,-0.08%
03-Jan-17,8192.25,8196.05,8219.1,8148.6,131.19M,0.16%
04-Jan-17,8190.5,8202.65,8218.5,8180.9,136.48M,-0.02%
05-Jan-17,8273.8,8226.65,8282.65,8223.7,163.96M,1.02%
06-Jan-17,8243.8,8281.85,8306.85,8233.25,143.69M,-0.36%
09-Jan-17,8236.05,8259.35,8263,8227.75,102.21M,-0.09%
10-Jan-17,8288.6,8262.7,8293.8,8261,147.31M,0.64%
11-Jan-17,8380.65,8327.8,8389,8322.25,192.28M,1.11%
12-Jan-17,8407.2,8391.05,8417.2,8382.3,177.95M,0.32%
13-Jan-17,8400.35,8457.65,8461.05,8373.15,190.95M,-0.08%
16-Jan-17,8412.8,8390.95,8426.7,8374.4,127.94M,0.15%
17-Jan-17,8398,8415.05,8440.9,8378.3,125.78M,-0.18%
18-Jan-17,8417,8403.85,8460.3,8397.4,168.87M,0.23%
19-Jan-17,8435.1,8418.4,8445.15,8404.05,170.96M,0.22%
20-Jan-17,8349.35,8404.35,8423.65,8340.95,208.90M,-1.02%
23-Jan-17,8391.5,8329.6,8404.15,8327.2,200.99M,0.50%
24-Jan-17,8475.8,8407.05,8480.95,8398.15,184.75M,1.00%
25-Jan-17,8602.75,8499.45,8612.6,8493.95,301.49M,1.50%
27-Jan-17,8641.25,8610.5,8672.7,8606.9,283.91M,0.45%
30-Jan-17,8632.75,8635.55,8662.6,8617.75,314.11M,-0.10%
31-Jan-17,8561.3,8629.45,8631.75,8552.4,537.11M,-0.83%
01-Feb-17,8716.4,8570.35,8722.4,8537.5,337.80M,1.81%
02-Feb-17,8734.25,8724.75,8757.6,8685.8,292.33M,0.20%
03-Feb-17,8740.95,8735.15,8748.25,8707.75,196.94M,0.08%
06-Feb-17,8801.05,8785.45,8814.1,8770.2,200.40M,0.69%
07-Feb-17,8768.3,8805.7,8809.3,8741.05,233.30M,-0.37%
08-Feb-17,8769.05,8774.55,8791.25,8715,225.49M,0.01%
09-Feb-17,8778.4,8795.55,8821.4,8724.1,193.28M,0.11%
10-Feb-17,8793.55,8812.35,8822.1,8771.2,232.95M,0.17%
13-Feb-17,8805.05,8819.8,8826.9,8754.2,211.18M,0.13%
14-Feb-17,8792.3,8819.9,8820.45,8772.5,194.13M,-0.14%
15-Feb-17,8724.7,8778.95,8807.9,8712.85,222.83M,-0.77%
16-Feb-17,8778,8739,8783.95,8719.6,190.28M,0.61%
17-Feb-17,8821.7,8883.7,8896.45,8804.25,307.53M,0.50%
20-Feb-17,8879.2,8818.55,8886.25,8809.8,173.02M,0.65%
21-Feb-17,8907.85,8890.75,8920.8,8860.95,181.09M,0.32%
22-Feb-17,8926.9,8931.6,8960.75,8905.25,254.68M,0.21%
23-Feb-17,8939.5,8956.4,8982.15,8927.55,388.87M,0.14%
27-Feb-17,8896.7,8943.7,8951.8,8888.65,195.85M,-0.48%
28-Feb-17,8879.6,8898.95,8914.75,8867.6,302.72M,-0.19%
01-Mar-17,8945.8,8904.4,8960.8,8898.6,212.33M,0.75%
02-Mar-17,8899.75,8982.85,8992.5,8879.8,225.61M,-0.51%
03-Mar-17,8897.55,8883.5,8907.1,8860.1,208.92M,-0.02%
06-Mar-17,8963.45,8915.1,8967.8,8914,180.20M,0.74%
07-Mar-17,8946.9,8977.75,8977.85,8932.8,178.83M,-0.18%
08-Mar-17,8924.3,8950.7,8957.05,8891.95,183.33M,-0.25%
09-Mar-17,8927,8914.5,8945.8,8899.5,176.81M,0.03%
10-Mar-17,8934.55,8953.7,8975.7,8903.95,157.42M,0.08%
14-Mar-17,9087,9091.65,9122.75,9060.5,278.73M,1.71%
15-Mar-17,9084.8,9086.85,9106.55,9075.5,248.03M,-0.02%
16-Mar-17,9153.7,9129.65,9158.45,9128.55,215.10M,0.76%
17-Mar-17,9160.05,9207.8,9218.4,9147.6,295.55M,0.07%
20-Mar-17,9126.85,9166.95,9167.6,9116.3,342.40M,-0.36%
21-Mar-17,9121.5,9133.95,9147.75,9087.2,255.40M,-0.06%
22-Mar-17,9030.45,9047.2,9072.9,9019.3,239.46M,-1.00%
23-Mar-17,9086.3,9048.75,9099.05,9048.6,197.70M,0.62%
24-Mar-17,9108,9104,9133.55,9089.4,210.02M,0.24%
